ticker,bench,corr,beta,sig,print_sigma_pos,print_sigma_neg,dev_best_ranges,bench_best_ranges,time_best_peak_ranges,time_best_norm_ranges
AMZY,SPY,0.8,0.73,1.31,0.448397,-0.651374,0.2–0.3,0.0–0.3;0.7,01:00–02:30;06:00;07:00,07:00
AMZZ,IWM,0.67,1.06,3.5,0.626229,-0.294914,0.2–0.4,0.2;0.5,01:30;02:30;04:00;06:00–09:30,09:00
AN,IWM,0.63,0.96,0.75,0.488,0.589867,0.7–0.8,0.1,,09:00
ANAB,IWM,0.44,0.45,3.34,0.58997,-0.26512,0.2,,,09:00
ANDE,IWM,0.55,0.34,0.6,1.164,0.156667,0.6,0.2–0.4;0.6,,09:00
ANEL,QQQ,0.89,3.57,3.93,0.671807,-2.466081,2.7,0.0;0.4,04:30–09:30,09:00
ANET,QQQ,0.88,1.66,1.73,0.561734,-2.069364,0.2–0.7,0.0–0.5,00:00–02:00;03:00;04:00–05:00;06:30–09:30,04:00;07:30
ANF,IWM,0.73,0.67,1.5,0.138,-0.5124,0.2–0.6;0.9,0.1–0.4;0.6;1.1,01:00;03:00;06:30–09:30,08:30
ANGI,SPY,0.87,2.06,1.4,-0.303,-1.312714,2.7,0.0–0.4,,09:00
ANGL,SPY,0.82,0.23,0.14,1.263571,-4.560714,2.7,0.0,,09:00
ANGX,KWEB,0.24,0.19,9.39,0.228126,-0.250703,0.2–0.3,,02:00,09:00
ANIP,SPY,0.46,0.29,1.15,0.452957,-0.294522,0.3,0.2–0.3,,09:00
ANPA,IWM,0.04,0.0,3.53,0.33711,-0.1954675,,,,
ANTA,XLF,0.19,0.5,2.24,1.2857145,0.078125,,0.3,,
AOA,SPY,0.94,0.71,0.34,-0.249412,-0.705882,0.2,0.0,,09:00
AOK,SPY,0.88,0.4,0.24,1.933333,-1.991667,0.5;1.1,0.1,,09:00
AOM,SPY,0.83,0.43,0.23,1.083478,-1.261304,0.5,0.0,,09:00
AON,XLF,0.19,0.31,0.56,0.742857,-0.385357,0.2;0.5,0.0;0.2,,09:00
AOR,SPY,0.96,0.63,0.31,0.82871,-1.234516,0.4,0.0,,09:00
AORT,IWM,0.49,0.36,0.71,0.313239,-1.220845,0.2,0.2,,09:00
AOS,IWM,0.42,0.24,0.48,0.413333,-0.695,0.3,0.2,,09:00
AOSL,SOXL,0.94,0.39,3.74,0.481738,-1.073636,,,,09:00
AOTG,SPY,0.85,1.75,1.01,1.200495,-0.393564,2.7,0.1,,09:00
APA,XLE,0.92,1.91,1.47,0.882993,-0.897143,1.3,0.0–0.2;0.6,06:00–09:30,09:00
APAM,XLF,0.86,1.26,0.58,1.612759,0.014483,0.5–0.6,0.1;0.4,,09:00
APD,IWM,0.79,0.54,0.75,0.630667,-0.5768,0.5–0.6;0.8,0.2–0.3,02:00–09:30,09:00
APED,IWM,0.75,4.01,4.36,0.9714795,-5.408716,2.7,,,09:00
APEI,SPY,0.56,0.3,1.84,0.244565,-0.340761,0.2,0.4,,09:00
APG,SPY,0.94,1.44,0.71,-0.065915,-0.851268,0.7,0.1–0.2;0.4,,09:00
APGE,IWM,0.73,0.82,0.85,0.522118,-0.553882,2.7,0.1–0.2;0.4,02:30–09:30,09:00
APH,SPY,0.9,1.32,1.51,0.438675,-0.165033,0.2–0.5;0.7;0.9;1.1,0.0–0.4,01:00–01:30;02:30–03:30;07:00–09:30,09:00
APLD,IWM,0.9,3.35,4.36,1.484404,-2.163647,0.2–0.9;1.6–1.7,0.0–0.6,00:00;01:00–01:30;02:30–09:30,05:00;07:00
APLE,SPY,0.74,0.73,0.68,-0.699412,-0.646765,0.3;0.5–0.6;0.8;1.0,0.0–0.3,00:00–00:30;01:30;02:30–03:00,09:00
APLS,IWM,0.51,0.45,2.37,0.295992,-0.355274,0.3,0.0,,08:30–09:00
APLX,QQQ,0.91,9.51,9.24,3.720411,-5.805887,2.7,0.1,02:00;03:30,09:00
APLY,SPY,0.81,0.65,0.59,0.35678,-0.500847,0.3;0.5,0.0–0.2,04:30,07:00;09:00
APO,SPY,0.86,1.98,1.19,0.195462,-1.042017,1.4,0.0–0.1;0.4,,08:00
APOG,IWM,0.87,0.85,0.67,0.374627,-0.570149,0.5;2.7,0.0–0.1,,09:00
APP,SPY,0.89,2.77,1.99,1.774824,-0.014271,0.2–0.4;0.6–0.8;1.0,0.0–0.3,00:00–02:00;03:00–04:00;07:30–09:30,00:30;08:00;09:00
APPF,SPY,0.55,0.2,1.07,0.53271,-0.480374,0.2,0.2,,09:00
APPN,SPY,0.88,1.52,1.35,0.589926,-1.045037,0.5;1.0,0.1;0.3,,09:00
APPX,SPY,0.87,5.73,4.05,5.18637,-0.468148,2.7,0.0–0.3,02:30,09:00
APTV,IWM,0.83,0.6,1.01,0.30297,-0.475248,0.3–0.5;1.0,0.0;0.2–0.4,04:00;05:00–09:30,09:00
AQWA,IWM,0.69,0.37,0.62,1.048387,-0.255323,,,,09:00
AR,XLE,0.79,1.41,1.34,0.99709,-0.800672,0.6–0.8;1.3,0.3–0.5,,09:00
ARCB,IWM,0.75,0.76,1.12,0.063214,-0.7525,0.8,0.2;0.5,,09:00
ARCC,SPY,0.72,0.4,0.32,-0.4375,-1.3375,0.2;0.5;0.7,0.0–0.1,00:00;01:00–02:00;03:00–03:30;07:30,08:00–09:00
ARCT,QQQ,0.67,1.54,7.21,0.137614,-0.191817,0.2–0.4,0.1–0.4;0.6;1.3,01:00;04:00–05:00;06:00;07:00–09:30,07:00;09:00
ARCX,IWM,0.86,6.2,5.55,1.218018,-2.73009,2.7,0.2;0.4,00:30;04:00–04:30,09:00
